pdb_id,model,plddt,delta_to_best
1zcb,4,89.56658730158728,-4.2813492063492475
1zcb,1,81.3354761904762,-12.512460317460324
1zcb,3,90.22373015873016,-3.6242063492063608
1zcb,3,88.89507936507934,-4.952857142857184
1zcb,3,90.36325396825394,-3.4846825396825807
1zcb,2,84.58095238095237,-9.266984126984156
1zcb,3,90.99285714285716,-2.855079365079362
1zcb,5,92.325873015873,-1.5220634920635234
1zcb,4,84.72119047619049,-9.126746031746038
1zcb,4,91.52738095238092,-2.3205555555556003
1zcb,2,90.69523809523808,-3.1526984126984416
1zcb,2,91.7,-2.147936507936521
1zcb,5,81.2195238095238,-12.628412698412717
1zcb,5,86.25984126984129,-7.588095238095235
1zcb,2,93.34079365079364,-0.5071428571428811
1zcb,3,59.228968253968254,-34.61896825396827
1zcb,2,92.1909523809524,-1.6569841269841277
1zcb,1,39.81063492063492,-54.037301587301606
1zcb,2,88.72984126984127,-5.1180952380952505
1zcb,4,41.13007936507937,-52.717857142857156
1zcb,3,80.66079365079364,-13.187142857142888
1zcb,1,84.91841269841271,-8.929523809523815
1zcb,1,90.18777777777778,-3.6601587301587415
1zcb,4,91.12555555555556,-2.7223809523809592
1zcb,1,91.60238095238095,-2.245555555555569
1zcb,2,92.7676984126984,-1.0802380952381299
1zcb,5,37.26611111111112,-56.5818253968254
1zcb,5,93.84793650793652,0.0
1zcb,3,92.82428571428572,-1.023650793650802
1zcb,4,88.12214285714286,-5.725793650793662
1zcb,5,86.70936507936507,-7.138571428571453
1zcb,5,79.50888888888889,-14.339047619047633
1zcb,3,34.60174603174604,-59.246190476190485
1zcb,4,92.08761904761906,-1.7603174603174665
1zcb,4,80.77055555555557,-13.077380952380949
1zcb,5,79.06071428571427,-14.787222222222255
1zcb,1,92.1588888888889,-1.6890476190476278
1zcb,2,39.275238095238095,-54.57269841269843
1zcb,3,92.24031746031746,-1.6076190476190675
1zcb,1,87.45150793650795,-6.396428571428572
1zcb,2,90.59436507936508,-3.2535714285714477
1zcb,4,92.8703968253968,-0.977539682539728
1zcb,5,90.42047619047618,-3.427460317460344
1zcb,1,89.30214285714287,-4.545793650793655
1zcb,1,86.58896825396825,-7.258968253968277
2i10,2,82.37782608695652,-4.782898550724653
2i10,2,79.3804347826087,-7.780289855072468
2i10,5,65.2359420289855,-21.924782608695665
2i10,4,83.32260869565218,-3.838115942028992
2i10,3,64.68739130434781,-22.473333333333358
2i10,1,57.300289855072464,-29.860434782608706
2i10,3,71.53072463768117,-15.629999999999995
2i10,5,63.06623188405797,-24.0944927536232
2i10,5,79.35521739130435,-7.80550724637682
2i10,3,69.15768115942028,-18.003043478260892
2i10,5,78.42695652173913,-8.733768115942041
2i10,4,66.84173913043477,-20.318985507246396
2i10,1,67.04144927536231,-20.11927536231886
2i10,2,59.571449275362326,-27.589275362318844
2i10,1,69.31942028985506,-17.84130434782611
2i10,4,67.43811594202897,-19.722608695652198
2i10,5,76.2805797101449,-10.880144927536264
2i10,3,70.31927536231883,-16.841449275362336
2i10,4,64.66333333333333,-22.497391304347843
2i10,2,67.67391304347827,-19.486811594202905
2i10,4,76.07173913043479,-11.088985507246377
2i10,1,79.65724637681161,-7.5034782608695565
2i10,5,81.26072463768115,-5.90000000000002
2i10,1,79.54536231884057,-7.615362318840596
2i10,1,57.01434782608696,-30.14637681159421
2i10,2,84.69840579710144,-2.4623188405797265
2i10,2,80.77347826086957,-6.3872463768116035
2i10,4,84.84782608695653,-2.31289855072464
2i10,3,50.51869565217391,-36.64202898550726
2i10,5,81.60623188405798,-5.554492753623194
2i10,2,67.11608695652173,-20.044637681159443
2i10,1,80.93115942028986,-6.229565217391311
2i10,4,54.08072463768116,-33.08000000000001
2i10,1,73.52231884057971,-13.638405797101456
2i10,5,74.20376811594201,-12.956956521739158
2i10,3,64.63826086956523,-22.52246376811594
2i10,3,72.99840579710144,-14.16231884057973
2i10,2,82.64768115942032,-4.513043478260855
2i10,5,80.63478260869564,-6.525942028985526
2i10,3,57.49304347826086,-29.66768115942031
2i10,2,87.16072463768117,0.0
2i10,4,82.3050724637681,-4.855652173913072
2i10,3,61.690289855072464,-25.470434782608706
2i10,4,81.43652173913044,-5.724202898550729
2i10,1,77.0672463768116,-10.093478260869574
6m0r,4,48.38811594202899,-16.690057971014483
6m0r,5,46.92802898550724,-18.150144927536232
6m0r,5,43.13446376811594,-21.94371014492753
6m0r,3,37.31234782608696,-27.76582608695651
6m0r,4,42.27382608695652,-22.804347826086953
6m0r,3,48.53689855072464,-16.541275362318828
6m0r,1,48.30753623188405,-16.77063768115942
6m0r,2,39.20347826086956,-25.874695652173912
6m0r,4,63.22976811594202,-1.8484057971014494
6m0r,3,65.07817391304347,0.0
6m0r,2,44.968521739130445,-20.109652173913027
6m0r,5,49.34701449275363,-15.731159420289842
6m0r,3,41.80072463768116,-23.277449275362315
6m0r,1,49.46202898550725,-15.616144927536219
6m0r,4,49.621478260869566,-15.456695652173906
6m0r,1,44.06898550724638,-21.00918840579709
6m0r,5,39.31130434782609,-25.766869565217384
6m0r,1,41.61933333333334,-23.458840579710134
6m0r,3,44.0432463768116,-21.03492753623187
6m0r,3,33.38431884057971,-31.693855072463762
6m0r,2,49.6108115942029,-15.467362318840571
6m0r,4,48.48698550724638,-16.59118840579709
6m0r,2,43.24759420289856,-21.83057971014491
6m0r,4,47.85086956521739,-17.227304347826085
