pdb_name,length,scr_pctg,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil
d1ctfa,68,scrambled_0.1,colabfold_d1ctfa,0.9718244710233028,0.4130033892433661,94.36,0.5,0.2941176470588235,0.2058823529411764
d1ctfa,68,scrambled_0.1,sample_1,0.9369509457654834,0.6346735667187205,90.39,0.4852941176470588,0.25,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_2,0.8596384588647066,1.4142115102717223,88.91,0.5147058823529411,0.2794117647058823,0.2058823529411764
d1ctfa,68,scrambled_0.1,sample_3,0.838543063322689,1.3170594006069856,76.86,0.5441176470588235,0.1176470588235294,0.3382352941176471
d1ctfa,68,scrambled_0.1,sample_4,0.661686409397022,2.414160941338056,87.77,0.5588235294117647,0.2205882352941176,0.2205882352941176
d1ctfa,68,scrambled_0.1,sample_5,0.6777371759144528,2.0747852174740555,77.87,0.5588235294117647,0.2205882352941176,0.2205882352941176
d1ctfa,68,scrambled_0.1,sample_6,0.9676659589121582,0.4532385402033466,93.43,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_7,0.9367780151582484,0.6369869009772602,92.22,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_8,0.6815396520748581,2.172662028874523,90.61,0.5735294117647058,0.25,0.1764705882352941
d1ctfa,68,scrambled_0.1,sample_9,0.9533367310332036,0.5773448072916186,88.53,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_10,0.9353541288162062,0.6829380922506482,88.4,0.5,0.2205882352941176,0.2794117647058823
d1ctfa,68,scrambled_0.1,sample_11,0.9498634567698284,0.5879305067112621,92.03,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_12,0.8565036292930768,1.1712070852683223,81.87,0.5147058823529411,0.25,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_13,0.556987492954425,4.41953578704258,52.29,0.25,0.2941176470588235,0.4558823529411764
d1ctfa,68,scrambled_0.1,sample_14,0.735299344297053,1.9733751486502795,67.61,0.4852941176470588,0.25,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_15,0.9410483945578526,0.6135072623080442,89.87,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_16,0.9439061441325568,0.622829256522682,93.66,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_17,0.4660201488731356,8.430374822574281,63.9,0.5147058823529411,0.0,0.4852941176470588
d1ctfa,68,scrambled_0.1,sample_18,0.8532622360193296,1.2826509568502242,80.57,0.5147058823529411,0.1470588235294117,0.3382352941176471
d1ctfa,68,scrambled_0.1,sample_19,0.9339689483035624,0.6708337533191446,88.85,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_20,0.9376587921113996,0.6369094462897024,92.9,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_21,0.5160932008931534,4.698870274466185,73.96,0.5147058823529411,0.1911764705882352,0.2941176470588235
d1ctfa,68,scrambled_0.1,sample_22,0.6498614556470902,2.678266005678485,89.61,0.5147058823529411,0.2352941176470588,0.25
d1ctfa,68,scrambled_0.1,sample_23,0.6330609721935183,2.794490209001,86.24,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_24,0.3773943176963208,10.302096104039496,57.16,0.6029411764705882,0.0,0.3970588235294117
d1ctfa,68,scrambled_0.1,sample_25,0.9034622945365208,0.8886757378304854,86.65,0.4852941176470588,0.25,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_26,0.8707297289206363,1.1478723543266691,83.28,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_27,0.8078225680904382,1.4195615887675412,83.43,0.5147058823529411,0.2794117647058823,0.2058823529411764
d1ctfa,68,scrambled_0.1,sample_28,0.7731162595975815,1.973258770770991,76.47,0.3970588235294117,0.2205882352941176,0.3823529411764705
d1ctfa,68,scrambled_0.1,sample_29,0.9658206473527144,0.4520351935062278,88.9,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_30,0.9265504489301106,0.7571655590278505,82.37,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_31,0.6125571041581536,2.7191358420199188,78.31,0.4558823529411764,0.2058823529411764,0.3382352941176471
d1ctfa,68,scrambled_0.1,sample_32,0.6799906757151836,2.5469212436628896,86.15,0.5147058823529411,0.25,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_33,0.894527446063328,1.0487933179303888,80.97,0.5,0.1470588235294117,0.3529411764705882
d1ctfa,68,scrambled_0.1,sample_34,0.7875415801202746,1.4805338484957606,69.37,0.5147058823529411,0.1470588235294117,0.3382352941176471
d1ctfa,68,scrambled_0.1,sample_35,0.7863599318734646,2.0383130515121866,75.46,0.4558823529411764,0.25,0.2941176470588235
d1ctfa,68,scrambled_0.1,sample_36,0.964971173336764,0.4770239413530058,96.57,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_37,0.7092667141687806,2.2900779486966725,80.21,0.5147058823529411,0.1323529411764706,0.3529411764705882
d1ctfa,68,scrambled_0.1,sample_38,0.9560090222579792,0.5443173199514907,92.57,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_39,0.7930752505109101,1.537411438286176,71.28,0.5147058823529411,0.2205882352941176,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_40,0.6355344218838902,4.14768028271542,74.6,0.6176470588235294,0.1176470588235294,0.2647058823529412
