,prot,filename,plddt,rmsd
0,soluprot_172726_msa.pdb,soluprot_172726_msa,96.37583231334149,0.5922236238631633
1,soluprot_63543_msa.pdb,soluprot_63543_msa,95.29558325024925,0.3512542785877987
2,soluprot_54625_msa.pdb,soluprot_54625_msa,94.18217797643234,0.4899235300660685
3,soluprot_83901_msa.pdb,soluprot_83901_msa,96.19114155251141,0.5422776734586165
4,soluprot_191966_msa.pdb,soluprot_191966_msa,85.67417877094971,1.874708512246647
5,soluprot_67471_msa.pdb,soluprot_67471_msa,94.64692397207138,24.58505531754517
6,soluprot_111344_msa.pdb,soluprot_111344_msa,88.48462162162161,0.7126977802810447
7,soluprot_238806_msa.pdb,soluprot_238806_msa,80.29983313180169,1.3270149262698894
8,soluprot_58050_msa.pdb,soluprot_58050_msa,90.6174481897628,2.440390595675847
9,soluprot_170097_msa.pdb,soluprot_170097_msa,96.1874677002584,0.5347699988623065
10,soluprot_36108_msa.pdb,soluprot_36108_msa,91.99884742951907,0.5741098177087194
11,soluprot_226601_msa.pdb,soluprot_226601_msa,88.7636318067897,6.157259959101575
12,soluprot_166085_msa.pdb,soluprot_166085_msa,79.94313592657343,6.851534243222008
13,soluprot_123676_msa.pdb,soluprot_123676_msa,94.82900000000001,0.3204536765894959
14,soluprot_227444_msa.pdb,soluprot_227444_msa,94.35575702075701,0.541826196601248
15,soluprot_181470_msa.pdb,soluprot_181470_msa,67.99387231944787,8.287932306175719
16,soluprot_196893_msa.pdb,soluprot_196893_msa,80.38144736842106,6.963596892282268
17,soluprot_218497_msa.pdb,soluprot_218497_msa,68.6058481832909,34.97471642750344
18,soluprot_49780_msa.pdb,soluprot_49780_msa,95.55063938618926,0.5599155696386493
19,soluprot_61037_msa.pdb,soluprot_61037_msa,91.5182309807516,2.2752856175617215
20,soluprot_47644_msa.pdb,soluprot_47644_msa,91.82166032953106,0.7832748278034567
21,soluprot_243543_msa.pdb,soluprot_243543_msa,75.65258720930233,1.328472012653551
22,soluprot_25785_msa.pdb,soluprot_25785_msa,94.72295437911684,0.8514692700149278
23,soluprot_98717_msa.pdb,soluprot_98717_msa,92.92089774802191,0.8485508522878368
24,soluprot_215512_msa.pdb,soluprot_215512_msa,85.87079301564205,1.4403845903157018
25,soluprot_53583_msa.pdb,soluprot_53583_msa,94.18618503118503,1.4317031207444133
26,soluprot_223160_msa.pdb,soluprot_223160_msa,94.68974811083123,0.3470049456858476
27,soluprot_48635_msa.pdb,soluprot_48635_msa,83.87402464065708,2.0250767520951514
28,soluprot_51864_msa.pdb,soluprot_51864_msa,96.5439801980198,0.7954359268058044
29,soluprot_227617_msa.pdb,soluprot_227617_msa,78.53478860006263,1.3082057757360899
30,soluprot_45685_msa.pdb,soluprot_45685_msa,95.86141115799343,0.4400470632597149
31,soluprot_234971_msa.pdb,soluprot_234971_msa,85.75288372093023,1.9134778334762115
32,soluprot_166307_msa.pdb,soluprot_166307_msa,91.8480926916221,0.6450630385421038
33,soluprot_236698_msa.pdb,soluprot_236698_msa,84.64493676406455,6.655313268938878
34,soluprot_109266_msa.pdb,soluprot_109266_msa,84.95258503401361,10.549689945462815
35,soluprot_51679_msa.pdb,soluprot_51679_msa,91.78094240837696,0.6838816151147958
36,soluprot_214938_msa.pdb,soluprot_214938_msa,85.61806078147612,24.147712788085755
37,soluprot_176435_msa.pdb,soluprot_176435_msa,93.77016819571865,0.6726654491143591
38,soluprot_240664_msa.pdb,soluprot_240664_msa,86.4934953271028,2.493118216783651
39,soluprot_252205_msa.pdb,soluprot_252205_msa,89.68064350328947,0.7882606464394116
40,soluprot_242739_msa.pdb,soluprot_242739_msa,68.55336666666666,7.4561141199294285
41,soluprot_8554_msa.pdb,soluprot_8554_msa,95.31448387096775,1.0846557159666999
