,sid,rmsd_ss,rmsd_msa,plddt_ss,plddt_msa,solubility
250667,250667,16.55215072631836,5.202929973602295,32.951527353512915,52.14022216051096,0
149952,149952,19.982179641723633,0.7335900068283081,41.03592427616927,96.21640868596882,0
252249,252249,3.0823400020599365,3.2014100551605225,40.97557794902193,59.452625963248366,0
167865,167865,16.702159881591797,2.750109910964966,38.03555226824458,85.79010848126232,0
249348,249348,26.83650016784668,1.7159500122070312,36.19787620889749,83.40231721470019,0
163217,163217,21.10242080688477,1.5135300159454346,38.58332066869301,87.03351063829788,0
160569,160569,8.65349006652832,0.6611300110816956,65.2601204819277,96.02572752548656,0
154760,154760,21.869579315185547,2.058490037918091,35.45796816087139,93.49178466694596,0
251874,251874,19.811559677124023,0.9580399990081788,39.66538163716814,95.79599557522124,0
170566,170566,26.91781997680664,1.126479983329773,37.018021904336166,91.97918641037104,0
98373,98373,12.55049991607666,2.7112600803375244,39.20211696869851,85.5446705107084,0
249753,249753,20.711610794067383,2.7014598846435547,39.95679752066116,90.58246694214876,0
232556,232556,3.6844699382781982,1.942370057106018,63.81534045393859,79.63694926568758,0
10864,10864,15.396309852600098,0.3821499943733215,48.961510673234805,86.87428571428572,0
251032,251032,17.628419876098633,9.199130058288574,44.882065313327445,96.01422771403354,0
144217,144217,24.836990356445312,3.3106000423431396,38.52908659924147,95.70614728192162,0
250669,250669,,,,,0
168041,168041,28.226829528808594,4.440539836883545,43.40548120300752,89.99121428571429,0
167711,167711,29.829240798950195,3.8234400749206543,30.70652724185831,87.99367494983794,0
144595,144595,34.332069396972656,3.62391996383667,34.64927299392415,90.19132830504924,0
166658,166658,28.318950653076172,2.505150079727173,37.692674821982834,82.97306372101515,0
170403,170403,16.304590225219727,0.4257499873638153,45.604819852941176,94.00054411764704,0
163090,163090,44.656150817871094,,31.23541782355576,,0
250096,250096,14.973910331726074,1.3130600452423096,41.291706775268416,87.25009626064421,0
162899,162899,14.032190322875977,0.6220499873161316,51.378589626933575,97.57769790718837,0
82344,82344,31.172910690307617,1.1034400463104248,41.096173086543274,92.95668584292146,0
207927,207927,29.74711036682129,0.8353099822998047,38.0951584213452,93.86340466926067,0
19111,19111,22.764650344848633,1.8022799491882324,44.421394867549665,87.33263658940399,0
163047,163047,21.22110939025879,6.038370132446289,37.04476287262872,81.41525067750678,0
155052,155052,25.917530059814453,0.71110999584198,34.548230443503456,95.263655003343,0
249315,249315,24.17367935180664,2.684109926223755,39.589389944819125,78.47344880441447,0
169749,169749,20.321319580078125,1.0310800075531006,42.4337069846678,94.6539761499148,0
166007,166007,30.796709060668945,0.8175100088119507,39.74288763493622,95.94122423945043,0
123890,123890,33.54644012451172,5.7044501304626465,36.748442607897154,83.97879522497705,0
166076,166076,16.683359146118164,0.7745599746704102,54.358328690807795,96.76925719591456,0
39744,39744,14.357270240783691,0.7674300074577332,34.787194244604315,94.91229316546764,0
250086,250086,22.257970809936523,2.01501989364624,35.611798820445614,80.5164613368283,0
167569,167569,21.330839157104492,6.562160015106201,37.25495895522389,86.04485074626865,0
172660,172660,25.43925094604492,14.982290267944336,43.60417302798983,92.14732361785796,0
144704,144704,31.989479064941406,1.5227700471878052,43.55819493601961,86.35301660767765,0
73367,73367,12.586020469665527,5.6338701248168945,39.05685135135135,88.50423648648649,0
162926,162926,30.291500091552734,0.6759399771690369,32.03679798681014,95.44011280805276,0
153595,153595,18.175870895385746,0.5527600049972534,39.97447666515632,96.38322609877662,0
167819,167819,30.19860076904297,8.95121955871582,36.43203258825987,87.47604554000416,0
162892,162892,14.100500106811523,2.355600118637085,36.81255430060817,81.46535186794092,0
238081,238081,16.148740768432617,1.1428699493408203,36.77554353704705,53.72352623039481,0
251412,251412,23.78330993652344,1.598770022392273,41.29574883326262,92.53732711073395,0
170113,170113,24.02526092529297,0.6640200018882751,35.73938814016173,92.64435040431266,0
172568,172568,31.889379501342773,1.388350009918213,37.92228500721799,93.71590637244792,0
163005,163005,32.751461029052734,2.4268798828125,36.052048028114015,93.2858883248731,0
250740,250740,,,33.502261468300105,51.4993749441116,0
165898,165898,24.208799362182617,0.7798100113868713,36.850223011643976,93.33607460035525,0
25449,25449,20.01279067993164,1.3421299457550049,45.866765134938,94.89299051787016,0
217425,217425,25.59111976623535,0.8768600225448608,30.062303881090006,87.61123864574732,0
12376,12376,32.200130462646484,14.128450393676758,45.006353276353266,85.62337218337217,0
19525,19525,15.149680137634276,0.8256300091743469,72.09315485732606,91.30905418403334,0
36280,36280,10.596750259399414,1.991919994354248,57.15206845238096,94.83068452380952,0
249971,249971,19.9710693359375,1.0834499597549438,34.097627052384674,86.9409538702111,0
252205,252205,34.6668586730957,0.92153000831604,33.48070723684211,89.68064350328947,0
167606,167606,25.47011947631836,0.8427600264549255,34.406599488163785,92.9970153550864,0
251845,251845,32.235740661621094,10.041330337524414,78.10485229415461,89.86189189189189,0
239797,239797,25.570690155029297,1.621999979019165,33.478646188850966,93.41128555176336,0
98374,98374,20.294309616088867,0.6327099800109863,35.63423724735323,94.29144850818096,0
162953,162953,22.619300842285156,1.340809941291809,34.9589306122449,89.21442040816326,0
403,403,17.38188934326172,1.847190022468567,34.69411298315163,90.5836471754212,0
144037,144037,25.177459716796875,0.8029000163078308,35.94074496389206,96.60044089699733,0
245390,245390,29.752830505371097,12.290340423583984,42.033690976514215,58.262603213844265,0
790,790,17.634790420532227,0.9128199815750122,42.30284976768198,95.40566339700568,0
166077,166077,22.595539093017575,0.4632900059223175,37.171562799616495,94.57021093000958,0
249953,249953,17.442150115966797,0.6325600147247314,37.78576687116564,85.63752556237219,0
26385,26385,33.01136016845703,3.713759899139404,32.797400160814796,91.32203162690968,0
153501,153501,33.90087127685547,9.557430267333984,38.73869007427414,93.1337047040288,0
163056,163056,24.2143497467041,4.553460121154785,37.08682561944834,86.59873305282842,0
165787,165787,31.24673080444336,5.333169937133789,31.631548573260662,80.08631292080796,0
234239,234239,5.569900035858154,0.3886399865150451,62.61095771144279,96.52258706467664,1
3797,3797,13.11765956878662,5.665979862213135,41.60292288557214,91.9855472636816,1
232219,232219,13.931229591369627,2.646130084991455,66.23617606602475,85.44353507565337,1
243960,243960,4.419000148773193,1.7488199472427368,58.63855659397715,81.15418483904465,1
175058,175058,13.543880462646484,1.7955399751663208,53.371874015748034,87.00651968503936,1
234971,234971,3.332649946212769,2.760040044784546,83.3236511627907,85.75288372093023,1
61176,61176,2.1628201007843018,2.0783801078796387,71.37110619469026,77.06050884955754,1
245540,245540,32.60028076171875,15.773449897766112,39.88601700680272,72.78657482993198,1
241147,241147,4.167409896850586,0.7241299748420715,74.5779220779221,87.72584415584414,1
186846,186846,8.714489936828613,0.7162799835205078,40.09908489525909,94.29341786108048,1
224277,224277,6.176670074462891,1.714269995689392,64.44962918660288,87.54375598086123,1
52232,52232,11.983699798583984,0.5504400134086609,51.10613048368954,89.64505061867266,1
236638,236638,5.353899955749512,1.0080100297927856,66.40681114551084,83.27464396284829,1
102868,102868,7.445730209350586,1.5628900527954102,55.71842349304481,91.525285935085,1
217228,217228,7.432030200958252,8.176569938659668,35.92059502013914,79.94992127425851,1
218334,218334,22.036359786987305,22.149730682373047,68.28446341463415,60.163085365853654,1
225262,225262,3.953550100326538,2.318380117416382,74.79831050228312,87.50220700152207,1
224124,224124,4.851880073547363,2.8292698860168457,68.44025917926567,91.83762419006482,1
26534,26534,17.60556983947754,0.5932700037956238,60.83104687500001,88.47623437500002,1
58959,58959,13.886099815368652,2.8881499767303467,35.32685618729097,81.23358974358975,1
217882,217882,10.075889587402344,1.6209399700164795,37.74409433962264,76.56589937106918,1
149555,149555,17.904460906982422,0.985889971256256,41.818310428455945,90.39809215844788,1
95847,95847,16.081939697265625,3.533679962158203,33.07271276595745,95.46652127659574,1
64875,64875,13.553990364074709,1.0013699531555176,43.4741638225256,96.18428668941978,1
107438,107438,7.232260227203369,0.58051997423172,43.48988095238095,94.51169841269842,1
52073,52073,8.821929931640625,1.778149962425232,67.37715404699739,93.6493733681462,1
175272,175272,20.77779960632324,0.6261199712753296,40.88606080206986,93.4595213454075,1
58001,58001,4.240910053253174,1.0292400121688845,48.06195141065831,87.58633228840125,1
84770,84770,11.596050262451172,0.631659984588623,43.30544131028208,94.95596906278436,1
224585,224585,16.635860443115234,0.8596500158309937,36.32314768460576,92.859324155194,1
109978,109978,17.136009216308594,9.049480438232422,50.63860231660232,84.29623938223939,1
51383,51383,10.839360237121582,0.6780200004577637,70.7276279527559,95.28908464566928,1
1346,1346,1.948580026626587,1.6101900339126587,89.64826941986233,94.44715830875124,1
286837,286837,17.680089950561523,3.4482901096343994,40.89943913320587,95.79588910133845,1
22763,22763,14.64074993133545,0.7996000051498413,44.84237888647867,91.14302964569777,1
223620,223620,32.626121520996094,29.24618911743164,40.81895789473684,72.26263333333333,1
251035,251035,4.374730110168457,0.4008899927139282,36.98929873217115,89.95698890649763,1
182256,182256,,,39.908799561197306,73.64845948910828,1
118928,118928,19.882429122924805,1.9663599729537964,36.31708920187793,85.51740610328639,1
3695,3695,12.655659675598145,2.466200113296509,49.77233280254777,88.93007165605096,1
58994,58994,21.547109603881836,0.5291399955749512,30.35360674810937,96.93836532867944,1
190352,190352,5.596759796142578,1.553570032119751,47.32623356535189,90.42426140757928,1
171378,171378,14.24810028076172,2.5866000652313232,38.536635873749034,84.96379522709776,1
187695,187695,20.142559051513672,0.4875899851322174,44.774755114693114,94.20191568505888,1
251830,251830,13.94690990447998,0.8230199813842773,55.97233038348082,93.72333333333334,1
103286,103286,4.024539947509766,1.195940017700195,66.88326713008938,93.93263157894737,1
187811,187811,17.286680221557617,1.2678200006484983,35.805067401960784,94.39723039215686,1
68514,68514,17.83843994140625,1.6965899467468262,42.53954784437434,80.47495268138802,1
224299,224299,15.41989040374756,4.118299961090088,45.072920353982305,91.29087512291052,1
1588,1588,16.671979904174805,0.4659599959850311,31.4964934114202,96.74828696925331,1
234511,234511,4.509940147399902,4.205979824066162,67.16774193548387,94.43344432882417,1
43406,43406,24.308910369873047,1.0053399801254272,29.567559670781893,88.312,1
53029,53029,24.92432975769043,3.6245899200439458,42.54221714865551,84.2694469812278,1
37870,37870,22.060779571533203,5.3059000968933105,37.28037407568509,81.77127011744237,1
240579,240579,21.5816593170166,21.710540771484375,46.233109525807805,67.47665967268149,1
53032,53032,21.99612045288086,9.98993968963623,39.255830078125,47.057211914062506,1
92003,92003,21.8398494720459,0.6473100185394287,34.41349705304519,96.16409037328094,1
215990,215990,18.89830017089844,1.6027599573135376,38.617013043478266,90.38983913043478,1
60018,60018,15.310930252075195,1.1895699501037598,36.39564891846922,93.47836106489184,1
61769,61769,29.81631088256836,3.2077300548553467,36.35448916408669,80.96950464396285,1
210301,210301,25.454879760742188,0.7952899932861328,45.90318805242305,87.01205425175252,1
209010,209010,16.971729278564453,10.709400177001951,33.065681159420286,86.44718840579709,1
170145,170145,23.387229919433594,1.973960041999817,36.142531152647976,92.72684190031153,1
240614,240614,19.82910919189453,2.0403199195861816,37.44631756756757,81.7996584084084,1
244847,244847,27.13124084472656,0.7807599902153015,31.486097079715865,93.91971981057615,1
76893,76893,23.498369216918945,2.4886999130249023,31.749353899883584,88.85037834691502,1
57992,57992,19.87170028686523,0.8088499903678894,35.473015625,94.47097395833336,1
237561,237561,24.002580642700195,2.3924400806427,39.219637004405286,53.0673691629956,1
97380,97380,18.11539077758789,1.0643399953842163,46.419030398322846,91.66259433962264,1
225112,225112,23.52699089050293,1.1150799989700315,35.047801231310466,94.51074758135444,1
242154,242154,19.428049087524418,1.5549499988555908,46.221323886639674,87.14105263157894,1
23851,23851,23.54482078552246,0.5372800230979919,33.868866828087164,93.08853753026636,1
58409,58409,20.524810791015625,1.3150399923324585,34.58520229144289,83.73560329394917,1
215598,215598,20.88344955444336,0.9303600192070008,40.0742667806755,89.60926891834117,1
237497,237497,16.484289169311523,1.7009299993515017,42.74369364475829,85.86680065181966,1
287800,287800,13.390640258789062,3.121429920196533,85.68195831047723,91.41471201316511,1
288516,288516,21.80845069885254,3.099639892578125,49.51966382338184,96.7856246864024,1
59121,59121,12.483619689941406,1.5238399505615234,39.98672902191341,92.10343666488508,1
176825,176825,19.3873291015625,0.916379988193512,44.5984792079208,93.54584554455444,1
184975,184975,14.940600395202637,0.5094299912452698,34.587890271493215,96.22720022624436,1
236888,236888,23.65971946716309,5.327600002288818,40.130613409415126,90.95548264384212,1
57768,57768,22.792890548706055,1.3403799533843994,36.83254545454545,93.96856916996046,1
175196,175196,22.49098014831543,0.6122900247573853,30.24668373879642,94.41527955612464,1
47424,47424,19.69887924194336,1.4321199655532837,36.36559865900383,93.533591954023,1
176210,176210,23.5852108001709,0.6153500080108643,39.02573208722742,94.95069870939028,1
215512,215512,24.091320037841797,1.0001200437545776,35.38762822844671,85.87079301564205,1
243262,243262,13.06663990020752,2.721630096435547,73.90130242825606,82.41675496688742,1
187193,187193,16.858800888061523,0.916700005531311,33.510904095904095,92.9296153846154,1
175156,175156,16.76188087463379,1.4745299816131592,44.49437062937062,93.9361616161616,1
52090,52090,17.129379272460938,0.4211100041866302,32.87076381909548,96.8059296482412,1
152125,152125,20.02001953125,1.1593300104141235,51.18041000410004,94.15308323083232,1
56680,56680,16.3464298248291,0.6059499979019165,35.425367770915216,95.81996069623808,1
218640,218640,19.78788948059082,1.4943900108337402,39.266716417910445,88.23228026533997,1
20750,20750,18.350719451904297,1.0068399906158447,42.413108492482735,87.55381552214547,1
235868,235868,41.921260833740234,4.08443021774292,40.76428813559322,82.93935404896422,1
46538,46538,19.322059631347656,1.4087899923324585,41.46729538845035,93.39643955130867,1
20340,20340,17.344770431518555,1.19622004032135,40.360757575757575,93.06323558162268,1
161240,161240,20.290760040283203,1.0,43.90837286527515,93.32417931688803,1
167963,167963,20.087310791015625,0.6916199922561646,51.41707679935666,91.77968636911945,1
103220,103220,21.46023941040039,0.9335399866104126,42.70216596343179,92.04397093295827,1
124225,124225,20.511550903320312,0.9609299898147584,36.52045004945599,90.29152818991098,1
44145,44145,22.100570678710938,1.020959973335266,34.43628453608247,87.96780206185566,1
31766,31766,25.20772933959961,3.292490005493164,45.08603643724696,94.0829109311741,1
60784,60784,20.79472923278809,0.979390025138855,38.943282674772036,92.95252713851497,1
150372,150372,19.609590530395508,1.3711400032043457,31.399575835475577,94.07691516709512,1
46357,46357,21.728500366210938,2.2410199642181396,30.585938284894148,87.24527807678508,1
188031,188031,20.28856086730957,0.930109977722168,41.9751908045977,95.4388367816092,1
192,192,20.4325008392334,0.6224899888038635,39.804403631861334,96.10108955839868,1
240580,240580,25.27758026123047,28.235179901123047,40.43756507136859,59.072703610411416,1
213966,213966,20.568069458007812,1.5691800117492676,38.36131734754292,85.98720248667851,1
187797,187797,7.694590091705322,1.6558799743652344,54.22634604439386,94.00072851451336,1
185298,185298,15.289870262145996,0.8548799753189087,52.06487878787878,93.0012683982684,1
58361,58361,13.502479553222656,0.6796500086784363,43.5273147632312,95.42820612813372,1
209703,209703,18.789270401000977,0.3764399886131286,55.85258191349934,97.27408912188729,1
224363,224363,15.845580101013184,0.9500499963760376,46.51742367434387,92.09649169791108,1
239693,239693,28.145919799804688,9.48289966583252,29.583125948406675,88.47534522003035,1
181513,181513,24.099140167236328,1.427590012550354,34.39634389926183,92.4154233608337,1
20223,20223,22.82994079589844,0.7181900143623352,33.25860326894502,91.79499257057952,1
189075,189075,23.78050994873047,0.7566199898719788,37.39135353535354,88.80286464646466,1
110476,110476,23.55471992492676,1.9130699634552,36.99059579939991,89.67289755679383,1
53395,53395,16.96150016784668,0.6233999729156494,50.878633487979755,97.01521720792914,1
215504,215504,34.30002975463867,17.484560012817383,35.117742083524554,68.53368976594768,1
180652,180652,19.978099822998047,2.118109941482544,41.182384582803905,94.6904108428632,1
181541,181541,22.371049880981445,0.7117800116539001,34.56078896974339,89.73995021064727,1
79161,79161,15.239540100097656,0.6620299816131592,43.85576943991299,96.08927134312124,1
169360,169360,18.86794090270996,0.6218600273132324,35.33451101321586,94.96284581497798,1
49991,49991,3.823659896850586,1.3996299505233765,74.38836198662845,89.25092168099332,1
45716,45716,11.976360321044922,0.5446000099182129,37.03097502401536,95.81252161383284,1
25789,25789,25.837940216064453,1.4272500276565552,38.62364410058027,90.28475435203096,1
51650,51650,26.196269989013672,0.5512700080871582,39.96003099814011,96.5848605083695,1
170253,170253,29.974010467529297,0.8574100136756897,35.53735865724381,93.81349234393404,1
226601,226601,20.63751983642578,3.8658199310302734,57.93118705855547,88.7636318067897,1
169068,169068,23.91412925720215,1.8579800128936768,34.44318867230599,92.90708716439867,1
21126,21126,27.246749877929688,0.9577999711036682,37.0716230867347,91.07853316326532,1
207109,207109,27.396560668945312,0.8433200120925903,38.18425998874508,92.87618458075409,1
215202,215202,26.688079833984375,3.5997300148010254,33.694235187424425,90.55813784764206,1
