,prot,filename,plddt,rmsd
0,soluprot_66585_ss.pdb,soluprot_66585_ss,39.4089885807504,17.67581993027298
1,soluprot_60784_ss.pdb,soluprot_60784_ss,38.943282674772036,19.633077872472928
2,soluprot_98373_ss.pdb,soluprot_98373_ss,39.20211696869851,11.40576665351454
3,soluprot_237048_ss.pdb,soluprot_237048_ss,43.132921793534926,19.277142982202133
4,soluprot_190886_ss.pdb,soluprot_190886_ss,72.69958762886596,9.794353733883435
5,soluprot_65131_ss.pdb,soluprot_65131_ss,47.56818548387096,10.272511736055261
6,soluprot_187235_ss.pdb,soluprot_187235_ss,59.048276150627615,11.011592816830012
7,soluprot_216486_ss.pdb,soluprot_216486_ss,37.04915446386396,17.357426416873412
8,soluprot_238970_ss.pdb,soluprot_238970_ss,41.134878318584065,14.382553732228237
9,soluprot_1628_ss.pdb,soluprot_1628_ss,45.28836370686312,12.275473832438989
10,soluprot_201968_ss.pdb,soluprot_201968_ss,56.99966972477064,4.169740585659391
11,soluprot_154131_ss.pdb,soluprot_154131_ss,36.35007866023852,24.819111142566094
12,soluprot_25942_ss.pdb,soluprot_25942_ss,34.23572517321016,27.537771652761876
13,soluprot_154760_ss.pdb,soluprot_154760_ss,35.45796816087139,19.752033396895502
14,soluprot_61647_ss.pdb,soluprot_61647_ss,35.356508374384234,20.46952044704005
15,soluprot_170566_ss.pdb,soluprot_170566_ss,37.018021904336166,23.22448846043539
16,soluprot_251874_ss.pdb,soluprot_251874_ss,39.66538163716814,17.4041664810955
17,soluprot_46088_ss.pdb,soluprot_46088_ss,38.87623866015352,17.359602381129502
18,soluprot_223619_ss.pdb,soluprot_223619_ss,36.591254878414894,26.31452960107913
19,soluprot_45522_ss.pdb,soluprot_45522_ss,34.497873825503355,26.510296142724222
20,soluprot_111508_ss.pdb,soluprot_111508_ss,43.38981150793651,14.412232758576234
21,soluprot_210326_ss.pdb,soluprot_210326_ss,32.072139227642275,26.015341164695773
22,soluprot_223160_ss.pdb,soluprot_223160_ss,41.43492863140218,14.519830568942904
23,soluprot_102994_ss.pdb,soluprot_102994_ss,46.93341176470589,7.834766344040234
24,soluprot_241770_ss.pdb,soluprot_241770_ss,85.22006544502618,2.3627372648059652
25,soluprot_163217_ss.pdb,soluprot_163217_ss,38.58332066869301,19.745214821079845
26,soluprot_176844_ss.pdb,soluprot_176844_ss,38.29161814843955,22.825181253496623
27,soluprot_237828_ss.pdb,soluprot_237828_ss,51.49163179916318,10.630748060813417
28,soluprot_79161_ss.pdb,soluprot_79161_ss,43.85576943991299,12.6518148316457
29,soluprot_160569_ss.pdb,soluprot_160569_ss,65.2601204819277,6.79505807738557
30,soluprot_46425_ss.pdb,soluprot_46425_ss,39.947272468714445,20.642128140757745
31,soluprot_57768_ss.pdb,soluprot_57768_ss,36.83254545454545,20.8211454599909
32,soluprot_251069_ss.pdb,soluprot_251069_ss,49.79601894414264,22.05995307725234
33,soluprot_240579_ss.pdb,soluprot_240579_ss,46.233109525807805,19.66076564841904
34,soluprot_24468_ss.pdb,soluprot_24468_ss,34.914632549836355,35.14349953751779
35,soluprot_236888_ss.pdb,soluprot_236888_ss,40.130613409415126,21.566781129192737
36,soluprot_215823_ss.pdb,soluprot_215823_ss,41.72652882205514,31.69449768735267
37,soluprot_19683_ss.pdb,soluprot_19683_ss,39.528306845965766,17.819247867336426
38,soluprot_180997_ss.pdb,soluprot_180997_ss,36.99904506437768,6.001412979749995
39,soluprot_210357_ss.pdb,soluprot_210357_ss,35.73208281499911,25.847114947627972
40,soluprot_168876_ss.pdb,soluprot_168876_ss,45.048109995635095,15.535821153930746
41,soluprot_181533_ss.pdb,soluprot_181533_ss,53.548385561285194,14.713070480049682
42,soluprot_167914_ss.pdb,soluprot_167914_ss,37.400344703770195,17.188663388001014
43,soluprot_52077_ss.pdb,soluprot_52077_ss,36.66223097112861,21.70296915992486
