pdb_name,length,scr_pctg,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil
d1ctfa,68,scrambled_0.1,colabfold_d1ctfa,0.9639495495406428,0.4956228725389143,90.4,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_1,0.941099358466723,0.6153782436585117,93.08,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_2,0.965349673672781,0.4818763032111066,89.16,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_3,0.920421345321239,0.8036502024085993,83.34,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_4,0.9648698697891612,0.4922022101984706,86.76,0.5,0.2205882352941176,0.2794117647058823
d1ctfa,68,scrambled_0.1,sample_5,0.9350515188744484,0.6996613887486925,80.65,0.5147058823529411,0.2647058823529412,0.2205882352941176
d1ctfa,68,scrambled_0.1,sample_6,0.9605291071418016,0.5255979071332245,89.56,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_7,0.961608039382636,0.5109943303094653,89.76,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_8,0.9589388574391188,0.53270426699967,88.44,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_9,0.956218105583886,0.5400726761586424,93.94,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_10,0.9631459545095202,0.4955563793504707,92.13,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_11,0.9575682049496712,0.538049648119024,89.58,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_12,0.9500555210022834,0.6017420216637034,88.97,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_13,0.9617120331373732,0.510757733729317,85.56,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_14,0.9547070501238728,0.5517916010017027,89.68,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_15,0.9241618426548892,0.7493766554592658,86.94,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_16,0.943940491867402,0.6521979188234314,87.44,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_17,0.9686615518352824,0.4613130662336101,89.84,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_18,0.9506163527252716,0.5970158582153607,77.7,0.5147058823529411,0.25,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_19,0.9613063925969588,0.5009425826155871,90.75,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_20,0.958568193074558,0.5480686474008319,88.69,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_21,0.901503000028416,0.9122236648013756,84.95,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_22,0.9517663486974304,0.5777724962604612,91.94,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_23,0.953935599965281,0.5579859775973961,86.99,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_24,0.9390039884899724,0.6738814161845792,82.1,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_25,0.918042969500888,0.7721052670024107,87.66,0.5,0.2205882352941176,0.2794117647058823
