pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
1a12,pMPNN,69.42827930174563,68.66897755610974,-0.759301745635895
1a5t,pMPNN,89.99444444444444,88.97009661835747,-1.0243478260869665
1adz,pMPNN,64.53450704225354,64.03492957746481,-0.4995774647887288
1agg,pMPNN,75.75979166666667,72.843125,-2.9166666666666714
1ako,pMPNN,62.570783582089554,34.818582089552244,-37.75220149253731
1aor,pMPNN,47.08665822784811,45.71455696202532,-1.372101265822792
1aqz,pMPNN,51.27073825503356,38.06442953020134,-23.20630872483222
1au1,pMPNN,89.07807228915662,87.70349397590361,-1.3745783132530107
1azs,pMPNN,74.71778947368422,62.18431578947368,-22.53347368421054
1b63,pMPNN,63.20689814814814,45.71606481481482,-27.49083333333332
1b9w,pMPNN,83.99644444444445,79.43133333333334,-4.565111111111108
1bg1,pMPNN,88.80758064516128,87.97478494623655,-0.8327956989247269
1bg8,pMPNN,92.29934210526316,89.85460526315791,-2.4447368421052573
1boo,pMPNN,51.7801875,43.50184375,-8.278343749999998
1bvp,pMPNN,67.03608333333334,50.63408333333333,-26.402000000000008
1ca4,pMPNN,67.09328947368421,60.13875,-6.954539473684207
1cf7,pMPNN,89.58626865671641,77.19074626865671,-22.395522388059703
1cix,pMPNN,82.3240909090909,78.87659090909091,-3.447499999999991
1cjx,pMPNN,54.974266666666665,39.47126666666667,-25.502999999999993
1cke,pMPNN,71.57817777777778,61.47555555555556,-10.102622222222223
1d5k,pMPNN,85.78988764044944,75.64101123595506,-10.148876404494374
1dmg,pMPNN,56.3084,52.26075555555555,-4.047644444444451
1dvo,pMPNN,83.51407894736843,83.16618421052631,-0.3478947368421217
1edq,pMPNN,79.19990825688072,68.91357798165137,-10.286330275229346
1edz,pMPNN,81.42052631578947,70.21192982456141,-11.208596491228064
1efp,pMPNN,61.33016393442623,37.173497267759565,-34.156666666666666
1erd,pMPNN,84.80175,72.66225,-22.139499999999998
1evs,pMPNN,81.58521739130435,59.130108695652176,-32.45510869565218
1ewf,pMPNN,59.01937238493724,43.99284518828452,-25.026527196652722
1ext,pMPNN,82.51813559322034,63.34101694915255,-29.17711864406779
1f20,pMPNN,42.18170370370371,38.17625925925926,-4.00544444444445
1f2q,pMPNN,81.09975609756098,80.85195121951217,-0.2478048780488109
1f3u,pMPNN,60.17986577181208,43.102751677852346,-27.077114093959736
1f5n,pMPNN,89.19053333333333,82.44983333333333,-6.740700000000004
1f86,pMPNN,92.95991304347824,91.21800000000002,-1.7419130434782204
1f9y,pMPNN,79.75816455696202,78.26746835443038,-1.4906962025316375
1fho,pMPNN,76.2155462184874,70.31983193277313,-5.895714285714277
1fjg,pMPNN,78.32562499999999,51.9273076923077,-36.39831730769229
1fm0,pMPNN,93.89283950617283,92.53925925925928,-1.3535802469135518
1fnn,pMPNN,90.188125,87.30821428571429,-2.879910714285714
1fo5,pMPNN,70.95400000000001,69.63600000000001,-1.3179999999999978
