,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
HBI_b_01,43,1.6223182678222656,1.661677360534668,0.0094296280294656,0.3384142518043518,1.0,7.644651889801025,0.0,1.661677360534668,[0],3.3774173259735107,0.9297375828027724,0.7915041446685791,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.9251275658607484,1.0,0.9495,0.9495,0.6987286471552924,HBI_b_01,WSB
HBI_b_02,44,1.857967972755432,1.6535027027130127,0.0111033311113715,0.3091640174388885,1.0,7.065669536590576,0.0,1.6535027027130127,[0],4.326475918292999,0.8965897187590599,0.764056384563446,3,295.71051025390625,1.0,0.0,1.0,1.2234407663345337,1.0,0.9266,0.9266,0.6347627886887418,HBI_b_02,WSB
HBI_b_03,45,1.8664947748184204,1.857519030570984,0.008188827894628,0.3710692524909973,1.0,6.737773418426514,0.0,1.857519030570984,[0],4.592413857579231,0.8767365217208862,0.7462140321731567,3,295.71051025390625,1.0,0.0,1.0,1.4997845888137815,1.0,0.904,0.904,0.5914267179042371,HBI_b_03,WSB
HBI_b_04,46,1.8106257915496824,1.4573265314102173,0.0123303700238466,0.261726975440979,1.0,7.486105918884277,0.0,1.4573265314102173,[0],3.7348941192030902,0.9171613827347757,0.7648019790649414,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.6539608836174011,1.0,0.974,0.974,0.6832092227809197,HBI_b_04,WSB
HBI_b_07,47,1.806233286857605,1.6302707195281982,0.0149384653195738,0.3211238384246826,1.0,7.497118949890137,0.0,1.6302707195281982,[0],4.20086582005024,0.8996154740452766,0.7621500492095947,3,295.71051025390625,0.9908256880733946,0.0,1.0,0.8967651128768921,1.0,0.9533,0.9533,0.6536224974494385,HBI_b_07,WSB
HBI_b_08,48,1.5965962409973145,1.5408260822296145,0.0080931717529892,0.2883279621601105,1.0,7.663430213928223,0.0,1.5408260822296145,[0],3.2329958081245422,0.9337535873055458,0.8048523664474487,3,295.71051025390625,1.0,0.0,1.0,0.9486643075942992,1.0,0.9569,0.9569,0.7191426783130893,HBI_b_08,WSB
HBI_b_09,49,1.7059003114700315,1.6897175312042236,0.0137017117813229,0.3319146931171417,1.0,7.478443622589111,0.0,1.6897175312042236,[0],3.959701970219612,0.9087963849306108,0.785369336605072,3,295.71051025390625,1.0,0.0,1.0,1.071677803993225,1.0,0.941,0.941,0.6716301059194609,HBI_b_09,WSB
HBI_b_10,50,1.7226959466934204,1.6304094791412354,0.0112418178468942,0.3368923366069793,1.0,7.541672229766846,0.0,1.6304094791412354,[0],3.734149247407913,0.9159532785415648,0.7850492000579834,3,295.71051025390625,0.9908256880733946,0.0,1.0,1.1382973194122314,1.0,0.9397,0.9397,0.6757085647763874,HBI_b_10,WSB
HBI_b_13,51,1.926336884498596,1.741387963294983,0.0131721664220094,0.3594701886177063,1.0,7.1971964836120605,0.0,1.741387963294983,[0],4.721812754869461,0.8782801702618599,0.7394347190856934,3,295.71051025390625,1.0,0.0,1.0,1.2568150758743286,1.0,0.9274,0.9274,0.6022821711952475,HBI_b_13,WSB
HBI_b_14,52,1.7665009498596191,1.6560218334197998,0.0081651480868458,0.3215450644493103,1.0,7.306697368621826,0.0,1.6560218334197998,[0],4.064660757780075,0.9050029292702676,0.7668513655662537,3,295.71051025390625,0.9908256880733946,0.0,1.0,1.264368176460266,1.0,0.9377,0.9377,0.650766361939272,HBI_b_14,WSB
